"","id","shareCount","playCount","commentCount","diggCount"
"1","6907228749016714497",50,44800,68,3710
"2","6875468410612993286",1817,838100,936,55700
"3","6898699405898059010",21100,15300000,27100,936200
"4","6902819837345533186",197,94900,143,12900
"5","6905635666588192002",198,115300,52,8805
"6","6895497835681287426",2846,2800000,2732,343000
"7","6895303013867539713",0,62200,4,227
"8","6884590643327290625",201,81200,354,4326
"9","6906514963569888513",1,8071,54,734
"10","6894206452450217217",716,95800,94,3874
"11","6902751117805899009",17,39300,19,2080
"12","6886417103046380801",338,65900,159,3275
"13","6883211681988627714",26,45700,68,6268
"14","6892769736589888770",208,1200000,336,57300
"15","6906571896683285761",92,61500,1166,6629
"16","6907334602017344774",470,174400,267,14500
"17","6883094233935252737",505,346500,181,23900
"18","6906818204966915330",16,71400,44,2501
"19","6876318382703070465",10,74700,188,6126
"20","6900948690186407170",104,90700,209,10700
"21","6875323773755657474",32,48000,29,1086
"22","6884935459110178049",0,11300,15,720
"23","6892805816492084481",62,46800,42,2053
"24","6886765050355289346",46,50400,27,1251
"25","6875370613523909890",0,22000,19,389
"26","6890189236130073857",55,55100,306,4734
"27","6901321371113032962",27,155600,127,11300
"28","6893611785295793410",220,49200,156,11800
"29","6904536120755768578",954,11200000,527,321900
"30","6888873392234056962",3,943,8,458
"31","6879952519586450690",75,44100,86,1742
"32","6884933059758755073",2,3456,3,274
"33","6895846066961337601",6,161600,80,7161
"34","6884933447480003842",1,5189,13,368
"35","6883604590525156609",78,197300,656,29200
"36","6886215675350666497",6,9315,23,1334
"37","6899411430660001026",2,34700,23,3997
"38","6898613799402753281",15,96400,48,2405
"39","6885861410329332998",75,64000,273,9522
"40","6879772200065436929",33,47500,212,11500
"41","6893119957534510338",8,1084,4,143
"42","6881624031561354498",8,61800,36,6153
"43","6896541657471241474",10,6599,37,831
"44","6884688821976354049",1257,99400,659,25000
"45","6906870391466216709",441,64300,13,1688
"46","6901020148426099969",228,62300,126,15200
"47","6898035916682710274",445,50900,147,8606
"48","6901681280128208130",177,18100,217,6025
"49","6887645369895898369",30,173100,315,26300
"50","6905029441760578818",4,45700,69,2766
"51","6879842043880017154",175,130100,87,7868
"52","6905761532039220482",102700,11100000,11600,461700
"53","6899136673347685634",308,776800,421,86000
"54","6894259747290123521",1107,1500000,1164,125000
"55","6906170881626754309",93,86200,297,8204
"56","6902412854188674306",19,63200,107,6454
"57","6897664007780568321",7,35900,88,899
"58","6879055868676132097",6076,654200,694,86900
"59","6882975789143379201",1,34800,257,5865
"60","6875639469563759873",33,47300,110,5805
"61","6896962911969758466",22,44700,26,5480
"62","6906814891034823938",13700,19100000,0,2600000
"63","6879756807481363714",82,246700,12,4673
"64","6905705430886944002",114,49400,39,1472
"65","6884970166489271557",27,99600,60,9247
"66","6902680579989359874",440,246400,380,8990
"67","6897704483288124673",729,582400,490,70100
"68","6891973965238111489",31,55500,111,6130
"69","6881218787157216514",689,171200,31,5898
"70","6906604842081357057",240,70100,264,24000
"71","6895890526185213186",18,58500,17,7508
"72","6904279792388984066",38,103000,124,9099
"73","6903247940127640834",518,197200,414,25700
"74","6895453128989101313",0,44000,95,4029
"75","6905505804959452417",349,198500,52,13000
"76","6902725059429911809",57,124000,213,11200
"77","6903809474268646658",110,102400,86,20700
"78","6884981528430988546",313,109200,195,10600
"79","6908111363365768453",860,89500,469,13400
"80","6906845094473649410",377,1800000,2637,299500
"81","6879440891853982978",224,66600,186,23000
"82","6902396851106925825",5,6458,24,712
"83","6877337975030598917",19,63700,131,5449
"84","6907233534893640965",198,139300,150,16800
"85","6876760427229957377",17,83200,38,2961
"86","6886872042411494658",915,202200,408,38700
"87","6900302214896618757",56,53800,106,5328
"88","6884265104637005057",457,198500,578,50500
"89","6880877914078842113",1,3854,2,154
"90","6899884198279073025",1197,1900000,2397,218600
"91","6903738407227297026",0,10400,93,1525
"92","6881838035051269377",5762,1300000,3030,258200
"93","6908309278365404418",18,12800,38,1546
"94","6901815472178646274",1348,345000,972,61600
"95","6877036154982616321",8,1896,4,198
"96","6902010787800370433",30600,12900000,1960,822200
"97","6889774570367192322",362,1200000,829,244200
"98","6876835225989664002",1975,1500000,1473,153600
"99","6888753654594145537",34100,3300000,3502,305300
"100","6901670973137898753",133,196900,176,15900
"101","6888474204623195397",1153,269900,81,15800
"102","6907692740469902593",286,623000,843,90600
"103","6881662658794294529",133,252600,448,26000
"104","6889502513469410565",13,326400,226,29700
"105","6885802277555293441",182,117800,62,8581
"106","6893192903749913858",10,26200,75,447
"107","6898791307016146177",63,97900,222,7070
"108","6886517104871279874",80,59400,64,4662
"109","6901195423273291009",162,132800,742,42600
"110","6905831259478461698",32,62900,104,1242
"111","6892756720829893890",106,57200,73,2380
"112","6904909762027195649",1,31300,8,1188
"113","6888254914754006274",198,43700,257,4896
"114","6903552918159379713",119,126400,48,5626
"115","6894393861238557954",61,10600,13,1338
"116","6877530962742217985",15000,2700000,347,116400
"117","6884265711980645634",1762,2400000,1051,171500
"118","6893183413965147394",9,31800,96,2566
"119","6885774617479302402",15,58900,7,441
"120","6899811757322194177",102,58300,51,5161
"121","6882598038947286274",91,202400,747,10400
"122","6894926988453186817",96,103600,27,11600
"123","6895741298297359617",1508,331900,97,24300
"124","6903050763124215042",30,48800,327,7446
"125","6905530005711768833",156,1100000,1969,165100
"126","6904391934735944961",57,215600,80,17200
"127","6890553472937200898",8,45500,41,2105
"128","6881035542830550278",25,71400,122,4851
"129","6886011511391718657",61,148200,22,4851
"130","6908031436243225858",18300,5400000,7471,846100
"131","6886383962885737730",78,6893,5,277
"132","6882817271899770114",7,23100,66,1816
"133","6880986381309562118",114,166600,469,26200
"134","6881841137934454017",8,22700,20,2349
"135","6889769067306061057",380,50300,70,8516
"136","6883070138279677186",28,27600,87,1833
"137","6878668790503116038",121,102900,1112,14700
"138","6893935935684185346",18,73600,30,6529
"139","6881719705028021509",59,56800,562,8960
"140","6904976916437044482",33,291200,406,46200
"141","6880203069192211713",3,30300,55,1859
"142","6891396863979769093",34,101800,388,11500
"143","6908543785303608581",1688,3600000,1777,305300
"144","6895420478932946177",1972,430100,1578,67300
"145","6899441890677116162",33,167500,344,14600
"146","6906741890503183621",22800,21500000,1810,500800
"147","6899784988095499522",44,63200,371,1829
"148","6893189880231283970",29,80400,505,4929
"149","6899791521470778625",35,28700,31,4171
"150","6900102046876208386",29,38400,44,4220
"151","6889831681469975810",22,51300,120,2925
"152","6878794517391150337",8,50300,66,2598
"153","6878601415150062850",74,102600,98,5858
"154","6893140398403816706",142,351500,517,27700
"155","6891212276406160641",41900,7200000,4398,441200
"156","6878300825932860674",398,251100,76,16600
"157","6904174259589958913",63,92000,1,4634
"158","6880080548086172929",36,21600,12,2223
"159","6901344153343364354",567,18000,1756,4147
"160","6886472762878151937",19,56800,31,1425
"161","6893282758790008065",107,43700,184,6842
"162","6907292013293505794",96,525900,352,63100
"163","6902733196811635969",21,82700,91,4568
"164","6903508885970193666",6902,340500,2629,129200
"165","6906515542035746050",24,316800,93,4012
"166","6895318771666308354",3,44600,36,1791
"167","6905698143560633602",286,64200,207,4597
"168","6894955763098193154",46,78100,151,8691
"169","6906933953777700097",299,254200,53,20100
"170","6893433380352822529",14,91300,24,3186
"171","6903527132979318018",6,33500,55,3755
"172","6893035754067430658",292,785700,195,41000
"173","6907818554905726214",11,92400,11,2475
"174","6889446389349125377",90,24200,12,1763
"175","6904986469501259014",15,66400,14,1754
"176","6900076260693724417",19,107500,44,1567
"177","6903994055907118338",31,28200,26,1339
"178","6892745555836013826",2,11400,52,393
"179","6890707606579563781",43,393800,301,32100
"180","6904359798809054470",731,135100,603,21300
"181","6884795858827644161",6,48600,36,1086
"182","6883600153593367810",171,52500,129,7700
"183","6902084818440408321",16,56700,35,7001
"184","6886679044323020033",3,21500,5,1869
"185","6904338682598264069",30,228100,236,27700
"186","6892784023928704258",534,54200,173,12600
"187","6882758194754522369",4,20400,54,613
"188","6882342986634595586",1,11900,61,643
"189","6906249909863779585",79,40300,249,12300
"190","6907808236133469445",287,69100,221,14700
"191","6901321675988651265",194,291100,436,29000
"192","6895768030618438913",48,81800,60,2264
"193","6895806487784869122",636,1400000,173,6274
"194","6908408424610974977",4,89900,143,7721
"195","6908292605101051137",2146,4000000,6991,619000
"196","6888428739861040386",984,551800,763,40400
"197","6897961707491085569",59,70800,134,4165
"198","6900606242016840962",46600,64500000,23100,3500000
"199","6899443808321277185",5,9843,1090,561
"200","6899842091749215489",116,67100,48,2685
"201","6898107264805244162",21,27800,64,4435
"202","6896469887732960513",2,40500,10,391
"203","6883565215552654593",32,65300,144,9782
"204","6892015573861993730",15,46900,37,1651
"205","6897251091910528257",10,226500,29,1269
"206","6899519135198383361",87,175100,77,11700
"207","6899462833088531714",33,115600,169,5209
"208","6886115520425266433",53,51000,107,3824
"209","6880225229415681282",372,113600,251,17600
"210","6900932062853893378",145,41200,36,3412
"211","6894377684403604738",1486,1900000,373,69200
"212","6906058362128010498",246,71700,30,3435
"213","6875862825932180738",12,60700,105,9773
"214","6900185373540961537",41,31100,406,3118
"215","6900632361621392642",8,40900,42,3077
"216","6903091992268459265",2,9373,6,833
"217","6878517470894836998",14,117500,112,5845
"218","6897028685413633281",74,111900,511,5791
"219","6886816932222356741",8,59000,886,4909
"220","6878340953933876482",43,63700,119,8283
"221","6896237474381614338",46,37700,20,2809
"222","6876716527186382081",17,23600,141,1714
"223","6900951421374516481",932,150100,40,11000
"224","6887366313526709510",305,87600,625,20300
"225","6888847866157223169",1295,87600,219,18800
"226","6877301356101782785",69,45000,46,1957
"227","6882770369573358853",204,83100,539,19700
"228","6879871451772620033",63,90200,143,14700
"229","6903551807230872833",61,25000,25,6144
"230","6876320502848261378",15,8223,34,801
"231","6884257667573894401",228,65900,75,13700
"232","6884153193425636610",16,62800,207,6111
"233","6891310470830034182",142,90800,178,8080
"234","6895488257920945414",14,96100,107,9007
"235","6878841351916637441",208,49300,47,4304
"236","6880924761333959938",8,66200,112,6691
"237","6899164169870773505",857,1200000,1342,68100
"238","6879439535726529794",3606,429100,473,33800
"239","6896407441815260418",1313,181200,252,20800
"240","6889452355486485762",1,42000,60,2247
"241","6884239332329164034",18,47000,51,5013
"242","6879123852467768581",23,226700,56,3372
"243","6876145412105899265",34,64400,57,1805
"244","6898295232723471617",95,72500,40,5398
"245","6895082457968725249",14400,24800000,4454,1200000
"246","6896035426092453122",71,113800,25,8860
"247","6900621838653869313",21,72300,79,1723
"248","6898020845189434625",541,632900,2968,81900
"249","6875317312082201857",5,202900,4,1783
"250","6883066746559794434",26,182800,77,15900
"251","6903969832719453445",157,141500,161,10600
"252","6893504738076167426",85,36700,87,886
"253","6905077243240877313",48,34500,171,6403
"254","6903324940011916546",1878,125400,1035,46500
"255","6898363189080214786",12,99900,454,17600
"256","6895808596605537537",139,317500,525,38200
"257","6907268705248464129",66,33700,38,3414
"258","6887853904697101570",83,76900,65,8093
"259","6907966191059356929",127,795900,509,153400
"260","6886026780914846978",54,58200,14,3657
"261","6888423769107385601",274,59400,203,5875
"262","6883594464900779270",168,95700,77,12100
"263","6877179236386376961",2267,620300,579,25900
"264","6898328700476083457",79,223500,170,31200
"265","6903579807641095430",69,89100,568,5753
"266","6886619249889070337",18,25900,87,1842
"267","6896810007157935362",11,40100,404,3836
"268","6899171884571626753",1548,351700,758,103900
"269","6876512902929599745",113,1000000,387,199600
"270","6878650367668653314",2,26900,68,1723
"271","6884999522360052993",5077,684000,152,41900
"272","6905772202600189189",24,346100,41,5473
"273","6890594872328195333",210,111100,466,20000
